match_date,season,team1,team2,winner,rest_t1,rest_t2,rest_diff,t1_won
2015-05-01,2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,6,7,-1,1
2015-05-02,2015,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,6,2,4,1
2015-05-02,2015,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,5,2,3,1
2015-05-03,2015,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,2,2,0,1
2015-05-03,2015,Kings XI Punjab,Mumbai Indians,Mumbai Indians,2,2,0,0
2015-05-04,2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,2,2,0,1
2015-05-04,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,2,2,0,1
2015-05-05,2015,Mumbai Indians,Delhi Daredevils,Mumbai Indians,2,2,0,1
2015-05-06,2015,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2,3,-1,1
2015-05-07,2015,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,4,3,1,0
2015-05-07,2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,3,2,1,1
2015-05-08,2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,4,3,1,0
2015-05-09,2015,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,2,2,0,0
2015-05-09,2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,2,3,-1,1
2015-05-10,2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2,3,-1,1
2015-05-10,2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,2,4,-2,0
2015-05-11,2015,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,2,2,0,1
2015-05-12,2015,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,3,2,1,1
2015-05-13,2015,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,2,3,-1,1
2015-05-14,2015,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,4,5,-1,1
2015-05-15,2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,4,2,2,0
2015-05-16,2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,6,2,4,1
2015-05-16,2015,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,3,4,-1,0
2015-05-17,2015,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,2,3,-1,0
2015-05-19,2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,3,2,1,0
2015-05-20,2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,5,4,1,1
2015-05-22,2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,3,2,1,1
2015-05-24,2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,5,2,3,1
2016-04-13,2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,3,4,-1,0
2016-04-14,2016,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,3,5,-2,1
2016-04-15,2016,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,5,4,1,1
2016-04-16,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,4,3,1,0
2016-04-16,2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,3,2,1,0
2016-04-17,2016,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,2,3,-1,1
2016-04-17,2016,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,5,2,3,0
2016-04-18,2016,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,2,2,0,1
2016-04-19,2016,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,2,3,-1,0
2016-04-20,2016,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,2,3,-1,1
2016-04-21,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,5,3,2,0
2016-04-22,2016,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,5,2,3,0
2016-04-23,2016,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,2,4,-2,1
2016-04-23,2016,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,6,3,3,1
2016-04-24,2016,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,3,2,1,1
2016-04-24,2016,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,2,5,-3,0
2016-04-25,2016,Kings XI Punjab,Mumbai Indians,Mumbai Indians,2,2,0,0
2016-04-26,2016,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,3,2,1,0
2016-04-27,2016,Delhi Daredevils,Gujarat Lions,Gujarat Lions,4,3,1,0
2016-04-28,2016,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,3,4,-1,1
2016-04-29,2016,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,3,2,1,0
2016-04-30,2016,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,3,2,1,1
2016-04-30,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,4,6,-2,1
2016-05-01,2016,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,2,3,-1,0
2016-05-01,2016,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,2,6,-4,0
2016-05-02,2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2,2,0,0
2016-05-03,2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,2,3,-1,0
2016-05-04,2016,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,2,3,-1,1
2016-05-05,2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,2,4,-2,0
2016-05-06,2016,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,6,3,3,1
2016-05-07,2016,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,3,2,1,1
2016-05-07,2016,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,5,2,3,1
2016-05-08,2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,7,2,5,0
2016-05-08,2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,4,2,2,0
2016-05-09,2016,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,2,2,0,0
2016-05-10,2016,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,3,2,1,0
2016-05-11,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2,3,-1,0
2016-05-12,2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,2,5,-3,0
2016-05-13,2016,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,2,4,-2,0
2016-05-14,2016,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,3,6,-3,1
2016-05-14,2016,Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders,6,4,2,1
2016-05-15,2016,Mumbai Indians,Delhi Daredevils,Mumbai Indians,2,3,-1,1
2016-05-15,2016,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,2,3,-1,0
2016-05-16,2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,2,2,0,0
2016-05-17,2016,Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,3,2,1,1
2016-05-18,2016,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2,3,-1,1
2016-05-19,2016,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,5,3,2,1
2016-05-20,2016,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,3,5,-2,1
2016-05-21,2016,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,4,3,1,1
2016-05-21,2016,Gujarat Lions,Mumbai Indians,Gujarat Lions,2,6,-4,1
2016-05-22,2016,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,3,2,1,1
2016-05-22,2016,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,2,4,-2,0
2016-05-24,2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,3,2,1,0
2016-05-25,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,3,3,0,1
2016-05-27,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,3,2,1,0
2016-05-29,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,5,2,3,0
2017-04-09,2017,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,4,2,2,1
2017-04-09,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,3,2,1,1
2017-04-10,2017,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,2,2,0,1
2017-04-11,2017,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,3,3,0,0
2017-04-12,2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,3,3,0,1
2017-04-13,2017,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,4,3,1,1
2017-04-14,2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,4,2,2,0
2017-04-14,2017,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,5,3,2,1
2017-04-15,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,2,3,-1,1
2017-04-15,2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,4,2,2,1
2017-04-16,2017,Mumbai Indians,Gujarat Lions,Mumbai Indians,2,2,0,1
2017-04-16,2017,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,2,2,0,0
2017-04-17,2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,2,2,0,1
2017-04-17,2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,2,2,0,0
2017-04-18,2017,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,2,2,0,0
2017-04-19,2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,2,2,0,1
2017-04-20,2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,3,4,-1,0
2017-04-21,2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,4,3,1,0
2017-04-22,2017,Mumbai Indians,Delhi Daredevils,Mumbai Indians,2,3,-1,1
2017-04-22,2017,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,6,3,3,1
2017-04-23,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,2,5,-3,1
2017-04-23,2017,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,2,3,-1,0
2017-04-24,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,2,2,0,0
2017-04-26,2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,2,3,-1,0
2017-04-27,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,4,4,0,0
2017-04-28,2017,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,5,6,-1,0
2017-04-28,2017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,2,6,-4,1
2017-04-29,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,3,2,1,1
2017-04-30,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,2,2,0,1
2017-04-30,2017,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,2,2,0,1
2017-05-01,2017,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,2,4,-2,1
2017-05-01,2017,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,7,2,5,1
2017-05-02,2017,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,2,2,0,1
2017-05-03,2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,3,2,1,0
2017-05-04,2017,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,2,3,-1,1
2017-05-05,2017,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,4,5,-1,0
2017-05-06,2017,Delhi Daredevils,Mumbai Indians,Mumbai Indians,2,5,-3,0
2017-05-06,2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,4,3,1,0
2017-05-07,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2,4,-2,0
2017-05-07,2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,2,3,-1,0
2017-05-08,2017,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,2,2,0,1
2017-05-09,2017,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2,2,0,1
2017-05-10,2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,3,4,-1,0
2017-05-11,2017,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,3,2,1,0
2017-05-12,2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,2,6,-4,1
2017-05-13,2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,4,2,2,0
2017-05-13,2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,3,5,-2,0
2017-05-14,2017,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,2,3,-1,1
2017-05-14,2017,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,2,7,-5,0
2017-05-16,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,3,2,1,0
2017-05-17,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,4,4,0,0
2017-05-19,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,3,2,1,1
2017-05-21,2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,2,5,-3,1
2018-04-10,2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2018-04-11,2018,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,2,3,-1,1
2018-04-12,2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,5,3,2,0
2018-04-13,2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,5,5,0,0
2018-04-14,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,4,2,2,0
2018-04-14,2018,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,2,3,-1,0
2018-04-15,2018,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,2,5,-3,1
2018-04-15,2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,4,2,2,1
2018-04-16,2018,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,2,2,0,1
2018-04-17,2018,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,3,2,1,1
2018-04-18,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,3,2,1,0
2018-04-19,2018,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,4,5,-1,1
2018-04-20,2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5,2,3,1
2018-04-21,2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,5,4,1,0
2018-04-21,2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,3,2,1,0
2018-04-22,2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,2,3,-1,1
2018-04-22,2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,5,2,3,0
2018-04-23,2018,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,2,2,0,1
2018-04-24,2018,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,2,2,0,1
2018-04-25,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,4,3,1,0
2018-04-26,2018,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,2,3,-1,1
2018-04-27,2018,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,4,6,-2,1
2018-04-28,2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,3,4,-1,0
2018-04-29,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,4,2,2,0
2018-04-29,2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,3,7,-4,1
2018-04-30,2018,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,2,3,-1,1
2018-05-01,2018,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,3,-1,1
2018-05-02,2018,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,2,3,-1,1
2018-05-03,2018,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,3,4,-1,0
2018-05-04,2018,Kings XI Punjab,Mumbai Indians,Mumbai Indians,8,3,5,0
2018-05-05,2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,3,6,-3,0
2018-05-05,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,4,2,2,0
2018-05-06,2018,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,4,2,2,0
2018-05-06,2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2,3,-1,1
2018-05-07,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,2,2,0,1
2018-05-08,2018,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2,2,0,1
2018-05-09,2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,3,3,0,1
2018-05-10,2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,5,3,2,0
2018-05-11,2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,6,3,3,0
2018-05-12,2018,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,3,4,-1,1
2018-05-12,2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,2,5,-3,0
2018-05-13,2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,4,2,2,0
2018-05-13,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,3,2,1,0
2018-05-14,2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,2,2,0,0
2018-05-15,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,2,3,-1,0
2018-05-16,2018,Mumbai Indians,Kings XI Punjab,Mumbai Indians,3,2,1,1
2018-05-17,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,3,4,-1,1
2018-05-18,2018,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,6,5,1,1
2018-05-19,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,2,4,-2,0
2018-05-19,2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,4,2,2,1
2018-05-20,2018,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,4,2,2,0
2018-05-20,2018,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,2,4,-2,1
2018-05-22,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,3,2,1,0
2018-05-23,2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,4,4,0,1
2018-05-25,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,3,2,1,1
2018-05-27,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,2,5,-3,0
2019-03-26,2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2019-03-27,2019,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,3,2,1,1
2019-03-28,2019,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,4,5,-1,1
2019-03-29,2019,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,4,5,-1,0
2019-03-30,2019,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,2,3,-1,0
2019-03-31,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,2,3,-1,1
2019-03-31,2019,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5,2,3,1
2019-04-01,2019,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,2,6,-4,1
2019-04-02,2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,2,2,0,0
2019-04-03,2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,4,3,1,1
2019-04-04,2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,3,4,-1,0
2019-04-05,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,3,9,-6,0
2019-04-06,2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,3,2,1,1
2019-04-06,2019,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,3,5,-2,1
2019-04-07,2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,2,3,-1,0
2019-04-07,2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,5,2,3,0
2019-04-08,2019,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,2,2,0,0
2019-04-09,2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2019-04-10,2019,Kings XI Punjab,Mumbai Indians,Mumbai Indians,2,4,-2,0
2019-04-11,2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4,2,2,0
2019-04-12,2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,3,5,-2,0
2019-04-13,2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,3,2,1,0
2019-04-13,2019,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,3,6,-3,0
2019-04-14,2019,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,2,6,-4,1
